,Top-1,Top-2,Top-3,Top-4,Top-5,Top-6,Top-7,Top-8,Top-9,Top-10,
VGG16,0.7011428571428572,0.8134285714285714,0.8585714285714285,0.8862857142857142,0.9,0.9105714285714286,0.9217142857142857,0.9291428571428572,0.9314285714285714,0.9354285714285714,
VGG19,0.7017142857142857,0.8182857142857143,0.8611428571428571,0.8851428571428571,0.8994285714285715,0.908,0.9162857142857143,0.9231428571428572,0.9277142857142857,0.9317142857142857,
RESNET50,0.7488571428571429,0.8545714285714285,0.8902857142857142,0.9111428571428571,0.924,0.934,0.9422857142857143,0.9471428571428572,0.9502857142857143,0.9528571428571428,
DENSENET121,0.7542857142857143,0.8557142857142858,0.8954285714285715,0.9157142857142857,0.9288571428571428,0.9374285714285714,0.9445714285714286,0.9494285714285714,0.954,0.9577142857142857,
DENSENET169,0.7608571428571429,0.8654285714285714,0.9074285714285715,0.9251428571428572,0.9374285714285714,0.9454285714285714,0.9514285714285714,0.9557142857142857,0.9591428571428572,0.9625714285714285,
DENSENET201,0.7682857142857142,0.8711428571428571,0.9034285714285715,0.9268571428571428,0.9385714285714286,0.9454285714285714,0.9505714285714286,0.954,0.9602857142857143,0.9637142857142857,
INCEPTIONV3,0.7768571428571428,0.8754285714285714,0.9054285714285715,0.9228571428571428,0.9362857142857143,0.9465714285714286,0.9517142857142857,0.954,0.9594285714285714,0.9625714285714285,
INCEPTION_RESNET_V2,0.7945714285714286,0.8977142857142857,0.9294285714285714,0.9442857142857143,0.9525714285714286,0.9634285714285714,0.9691428571428572,0.9722857142857143,0.9748571428571429,0.976,
XCEPTION,0.7871428571428571,0.8871428571428571,0.9222857142857143,0.9414285714285714,0.9488571428571428,0.9545714285714286,0.9594285714285714,0.9634285714285714,0.9674285714285714,0.97,
NASNET,0.8214285714285714,0.9094285714285715,0.9388571428571428,0.9568571428571429,0.9645714285714285,0.9682857142857143,0.9722857142857143,0.974,0.9762857142857143,0.9788571428571429,
